station,date,max_tmpf,min_tmpf,name,X,Y,GDD,Cumulative_GDD,Station_ID
MN001,2023-09-30,92.66001,67.81998,Twin Lakes I-35 Mile Post 1,-93.354057312,43.5083312988,26.909989999999993,2722.2302359999994,MN001
MN002,2023-09-30,79.34002,58.99999,Silver Lake TH 7 Mile Post 1,-94.1191,44.9068,19.170005000000003,2309.130027,MN002
MN003,2023-09-30,87.61998,68.71998,Little Chicago I-35 Mile Post 70,-93.292427063,44.4785003662,27.35999000000001,2622.960044000001,MN003
MN004,2023-09-30,78.440025,61.340023,Rush City I-35 Mile Post 157,-92.9927520752,45.6429214478,19.89002400000001,2479.679830999999,MN004
MN005,2023-09-30,67.09999,62.060013,Rutledge I-35 Mile Post 198,-92.8385620117,46.2125701904,14.580001500000009,2488.139957000001,MN005
MN006,2023-09-30,91.58,57.74002,Beaver Creek I-90 Mile Post 4,-96.3779,43.6083,21.870010000000008,2867.4901244999996,MN006
MN007,2023-09-30,90.49999,63.49999,I-90 Mile Post 35,-95.7699127197,43.6373405457,24.749995,2458.259837499999,MN007
MN008,2023-09-30,92.11998,64.39999,I-90 Mile Post 67,-95.1185379028,43.6386909485,25.199995,2496.960114999999,MN008
MN009,2023-09-30,94.460014,71.06001,Blue Earth I-90 Mile Post 119,-94.1224365234,43.6630516052,28.530005000000003,2814.930093000001,MN009
MN010,2023-09-30,89.59999,68.18,Dexter I-90 Mile Post 195,-92.6813735962,43.7271614075,27.090000000000003,2457.359951,MN010
MN011,2023-09-30,87.79999,66.01998,Jct CR 7 I-90 Mile Post 226,-92.2051467896,43.9556388855,26.009990000000002,2292.5699045,MN011
MN012,2023-09-30,80.24002,63.140022,Ridgeway I-90 Mile Post 261,-91.5435791016,43.9119186401,21.690021,2211.0302675,MN012
MN013,2023-09-30,75.19999,51.98,Dilworth I-94 Mile Post 5,-96.6681365967,46.8467903137,13.589995000000002,2427.3001670000012,MN013
MN014,2023-09-30,72.14002,56.299988,Rothsay I-94 Mile Post 38,-96.2912521362,46.4906616211,14.220004000000003,2205.270043,MN014
MN015,2023-09-30,72.14002,62.41998,Alexandria I-94 Mile Post 104,-95.3662185669,45.8376502991,17.28,2724.0300980000006,MN015
MN016,2023-09-30,71.24002,62.41998,Sauk Center I-94 Mile Post 128,-94.9314498901,45.7131004333,16.83,2536.019963,MN016
MN017,2023-09-30,81.14002,63.140022,Clearwater I-94 Mile Post 180,-94.0256118774,45.3946914673,22.140021000000004,2919.869888,MN017
MN018,2023-09-30,68.18,48.560013,Shooks MN-1 Mile Post 34,-94.4324264526,47.8743095398,9.090000000000003,1863.9000600000002,MN018
